secid,date,symbol,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix,ticker,index_flag,issuer,div_convention,exercise_style,am_settlement,am_set_flag
108105,2020-01-02,SYN100000,2020-02-01,2020-01-02,C,2895480,39.2,40.8,10,100,0.20500000000000002,0.75,0.01,1.0,-0.02,100000,100,0,3200,,SPX,,SPX,1,,,E,0,0
108105,2020-01-02,SYN100001,2020-02-01,2020-01-02,C,3043930,34.3,35.7,10,100,0.2025,0.625,0.01,1.0,-0.02,100001,100,0,3200,,SPX,,SPX,1,,,E,0,0
108105,2020-01-02,SYN100002,2020-02-01,2020-01-02,C,3200000,29.4,30.6,10,100,0.2,0.5,0.01,1.0,-0.02,100002,100,0,3200,,SPX,,SPX,1,,,E,0,0
108105,2020-01-02,SYN100003,2020-02-01,2020-01-02,C,3364070,34.3,35.7,10,100,0.2025,0.375,0.01,1.0,-0.02,100003,100,0,3200,,SPX,,SPX,1,,,E,0,0
108105,2020-01-02,SYN100004,2020-02-01,2020-01-02,C,3536550,39.2,40.8,10,100,0.20500000000000002,0.25,0.01,1.0,-0.02,100004,100,0,3200,,SPX,,SPX,1,,,E,0,0
108105,2020-01-02,SYN100005,2020-02-01,2020-01-02,P,2895480,41.16,42.84,10,100,0.20500000000000002,-0.25,0.01,1.0,-0.02,100005,100,0,3200,,SPX,,SPX,1,,,E,0,0
108105,2020-01-02,SYN100006,2020-02-01,2020-01-02,P,3043930,36.26,37.74,10,100,0.2025,-0.375,0.01,1.0,-0.02,100006,100,0,3200,,SPX,,SPX,1,,,E,0,0
108105,2020-01-02,SYN100007,2020-02-01,2020-01-02,P,3200000,31.36,32.64,10,100,0.2,-0.5,0.01,1.0,-0.02,100007,100,0,3200,,SPX,,SPX,1,,,E,0,0
108105,2020-01-02,SYN100008,2020-02-01,2020-01-02,P,3364070,36.26,37.74,10,100,0.2025,-0.625,0.01,1.0,-0.02,100008,100,0,3200,,SPX,,SPX,1,,,E,0,0
108105,2020-01-02,SYN100009,2020-02-01,2020-01-02,P,3536550,41.16,42.84,10,100,0.20500000000000002,-0.75,0.01,1.0,-0.02,100009,100,0,3200,,SPX,,SPX,1,,,E,0,0
108105,2020-01-03,SYN100010,2020-02-02,2020-01-03,C,2902720,39.2,40.8,10,100,0.20500000000000002,0.75,0.01,1.0,-0.02,100010,100,0,3208,,SPX,,SPX,1,,,E,0,0
108105,2020-01-03,SYN100011,2020-02-02,2020-01-03,C,3051540,34.3,35.7,10,100,0.2025,0.625,0.01,1.0,-0.02,100011,100,0,3208,,SPX,,SPX,1,,,E,0,0
108105,2020-01-03,SYN100012,2020-02-02,2020-01-03,C,3208000,29.4,30.6,10,100,0.2,0.5,0.01,1.0,-0.02,100012,100,0,3208,,SPX,,SPX,1,,,E,0,0
108105,2020-01-03,SYN100013,2020-02-02,2020-01-03,C,3372480,34.3,35.7,10,100,0.2025,0.375,0.01,1.0,-0.02,100013,100,0,3208,,SPX,,SPX,1,,,E,0,0
108105,2020-01-03,SYN100014,2020-02-02,2020-01-03,C,3545390,39.2,40.8,10,100,0.20500000000000002,0.25,0.01,1.0,-0.02,100014,100,0,3208,,SPX,,SPX,1,,,E,0,0
108105,2020-01-03,SYN100015,2020-02-02,2020-01-03,P,2902720,41.16,42.84,10,100,0.20500000000000002,-0.25,0.01,1.0,-0.02,100015,100,0,3208,,SPX,,SPX,1,,,E,0,0
108105,2020-01-03,SYN100016,2020-02-02,2020-01-03,P,3051540,36.26,37.74,10,100,0.2025,-0.375,0.01,1.0,-0.02,100016,100,0,3208,,SPX,,SPX,1,,,E,0,0
108105,2020-01-03,SYN100017,2020-02-02,2020-01-03,P,3208000,31.36,32.64,10,100,0.2,-0.5,0.01,1.0,-0.02,100017,100,0,3208,,SPX,,SPX,1,,,E,0,0
108105,2020-01-03,SYN100018,2020-02-02,2020-01-03,P,3372480,36.26,37.74,10,100,0.2025,-0.625,0.01,1.0,-0.02,100018,100,0,3208,,SPX,,SPX,1,,,E,0,0
